nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0119229,tt0098258,tt0146882,tt0450385
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0064665,tt0095953,tt0084805,tt0061722
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0480249,tt0098800,tt0119654,tt0120891
nm0000247	John Woo	1946	\N	producer,director,writer	tt0104684,tt0119094,tt0092263,tt0425637
nm0000329	Jackie Chan	1954	\N	actor,stunts,producer	tt0120812,tt0127357,tt0266915,tt0089374
nm0000529	Debi Mazar	1964	\N	actress,make_up_department,producer	tt0387199,tt0140352,tt0112950,tt1674771
nm0000586	Jada Pinkett Smith	1971	\N	actress,producer,writer	tt0234215,tt0242653,tt0369339,tt0351283
nm0000602	Robert Redford	1936	\N	producer,actor,director	tt0087781,tt0081283,tt0074119,tt0064115
nm0000676	Chris Tucker	1971	\N	actor,soundtrack,writer	tt0293564,tt0266915,tt1045658,tt0120812
nm0000706	Michelle Yeoh	1962	\N	actress,producer,writer	tt0120347,tt1302011,tt3104988,tt0190332
nm0000732	Danny Aiello	1933	\N	actor,producer,soundtrack	tt0102070,tt0093565,tt0097216,tt0110413
nm0000870	Kathy Bates	1948	\N	actress,director,soundtrack	tt0101921,tt0100157,tt0120338,tt0109642
nm0000980	Jim Broadbent	1949	\N	actor,writer,soundtrack	tt1431181,tt1007029,tt0217505,tt0203009
nm0001041	Maggie Cheung	1964	\N	actress,soundtrack	tt0118694,tt0117905,tt0299977,tt0101258
nm0001207	José Ferrer	1912	1992	actor,soundtrack,director	tt0044926,tt0042367,tt0087182,tt0049280
nm0001231	Claire Forlani	1971	\N	actress,producer	tt0132347,tt0288045,tt0460780,tt0119643
nm0001317	Renny Harlin	1959	\N	producer,director,writer	tt2238032,tt0099423,tt0106582,tt0149261
nm0001349	Jennifer Love Hewitt	1979	\N	actress,producer,soundtrack	tt0130018,tt0119345,tt0125022,tt0290095
nm0001401	Angelina Jolie	1975	\N	actress,producer,director	tt1243957,tt0824747,tt0172493,tt1587310
nm0001472	Jet Li	1963	\N	actor,producer,miscellaneous	tt0342258,tt0165929,tt0267804,tt0446059
nm0001696	Julian Sands	1958	\N	actor,assistant_director,soundtrack	tt0102511,tt0098622,tt0091867,tt0087553
nm0001884	Max von Sydow	1929	\N	actor,soundtrack,director	tt0050976,tt0181689,tt0080745,tt0477302
nm0002076	Jason Flemyng	1966	\N	actor,soundtrack,director	tt0970452,tt0421715,tt0120735,tt0311429
nm0002397	Andrew Z. Davis	\N	\N	producer,production_manager,location_management	tt1637688,tt0120660,tt1053424,tt0120461
nm0003703	Eric Strand	\N	\N	editor,editorial_department	tt0087262,tt0146316,tt0149261,tt0246578
nm0004214	Bey Logan	1963	\N	producer,actor,writer	tt0288045,tt8180932,tt0865556,tt4327752
nm0004778	Adrien Brody	1973	\N	actor,producer,writer	tt0253474,tt2278388,tt1605783,tt1683526
nm0004854	Billy Ray Cyrus	1961	\N	actor,soundtrack,writer	tt0166924,tt1273678,tt0493093,tt1114677
nm0004943	Warren G.	1970	\N	soundtrack,actor,composer	tt0109035,tt0112442,tt0208003,tt2294677
nm0005033	Sammo Kam-Bo Hung	1952	\N	actor,stunts,producer	tt0163949,tt0085211,tt1220719,tt1386932
nm0005042	Jason Isaacs	1963	\N	actor,producer,miscellaneous	tt0295297,tt0265086,tt0187393,tt0316396
nm0005154	Lucy Liu	1968	\N	actress,director,producer	tt0160127,tt0299658,tt2191671,tt0266697
nm0005520	Amber Valletta	1974	\N	actress,producer	tt1034032,tt0388482,tt0455760,tt0386588
nm0005562	Owen Wilson	1968	\N	actor,producer,writer	tt1605783,tt0396269,tt0265666,tt0115734
nm0006059	Stephen Endelman	1962	\N	composer,music_department,soundtrack	tt6653752,tt0763840,tt0352277,tt0115951
nm0006254	J. Peter Robinson	1945	\N	composer,music_department,soundtrack	tt0412080,tt0111686,tt0105793,tt0094889
nm0006277	Lalo Schifrin	1932	\N	music_department,composer,soundtrack	tt0266915,tt0117060,tt0120755,tt0120812
nm0006322	Ken Thorne	1924	2014	music_department,composer,soundtrack	tt0081573,tt0086393,tt0060438,tt0141926
nm0006534	Phil Hay	\N	\N	writer,producer,actor	tt1408253,tt7137380,tt0250224,tt2400463
nm0007079	James Greer	1971	\N	writer,director,cinematographer	tt1273678,tt0273799,tt7153766,tt0397078
nm0007139	Hark Tsui	1950	\N	producer,director,writer	tt1123373,tt3950078,tt1686784,tt0103285
nm0008743	Jonathan Aibel	1969	\N	producer,writer,miscellaneous	tt1302011,tt2267968,tt0441773,tt0118375
nm0013833	Ah-Lei Gua	1944	\N	actress,music_department	tt0107156,tt0114013,tt0206441,tt1205475
nm0018726	Sandy Alexander	\N	\N	stunts,actor,writer	tt0114746,tt0300051,tt0091635,tt0212985
nm0029400	Michael Angarano	1987	\N	actor,writer,director	tt0865556,tt2231253,tt0181875,tt0405325
nm0035488	Fred Armisen	1966	\N	music_department,actor,writer	tt0357413,tt0072562,tt1645170,tt1780441
nm0036663	Victor Arnold	1936	2012	actor,writer	tt0914387,tt0117958,tt0078718,tt0070672
nm0041251	Sha-Fei Ouyang	1924	2010	actress	tt1168665,tt0186095,tt0888052,tt0192107
nm0044951	Chris Babida	\N	\N	composer,music_department,soundtrack	tt0084941,tt0105844,tt0259744,tt0111770
nm0045927	Bill Badalato	1940	\N	producer,production_manager,writer	tt0092099,tt0115759,tt0118583,tt0203019
nm0046223	Sayed Badreya	1957	\N	actor,producer,miscellaneous	tt0960144,tt0808148,tt0371746,tt1800763
nm0053388	Gary Barber	\N	\N	producer,executive	tt0245844,tt0427470,tt0217869,tt1046173
nm0060311	Kevin Bassinson	\N	\N	music_department,composer,soundtrack	tt1267299,tt0089374,tt0214388,tt0097138
nm0063769	Charlie Bean	\N	\N	animation_department,art_department,director	tt3014284,tt0289408,tt0278238,tt1812523
nm0073026	David Benullo	\N	\N	assistant_director,writer,director	tt7625818,tt0327437,tt1562871,tt0462028
nm0074184	Glenn Berger	1969	\N	producer,writer,miscellaneous	tt0441773,tt2267968,tt0118375,tt1302011
nm0077080	Jonathan Bernstein	\N	\N	writer	tt1273678,tt0462395,tt0397078,tt7153766
nm0083696	Roger Birnbaum	\N	\N	producer,production_manager,executive	tt0315327,tt1137450,tt0120812,tt2404435
nm0085312	Jack Black	1969	\N	actor,producer,soundtrack	tt0457510,tt0332379,tt0360717,tt0146882
nm0086840	Susanne Blakeslee	1956	\N	actress,music_department,soundtrack	tt1629701,tt0322968,tt0235918,tt1094581
nm0101639	Frank Cottrell Boyce	1961	\N	writer,actor,producer	tt0423409,tt0366777,tt2058107,tt0345061
nm0120180	S. Scott Bullock	1956	\N	actor,soundtrack	tt1852820,tt0244783,tt0429589,tt0414853
nm0127478	Raquel Caballes Maxwell	\N	\N	producer,production_manager,miscellaneous	tt0114194,tt0218967,tt0110950,tt0117193
nm0132709	Martin Campbell	1943	\N	director,producer,actor	tt0190865,tt0120746,tt0113189,tt0381061
