tconst	ordering	nconst	category	job	characters
tt0068000	1	nm0000329	actor	\N	"[""Jackie""]"
tt0070017	4	nm0000329	actor	\N	"[""Shi Tzer""]"
tt0070049	1	nm0000329	actor	\N	"[""Xiao Liu""]"
tt0073694	3	nm0000329	actor	\N	"[""Tan Feng""]"
tt0074747	1	nm0000329	actor	\N	"[""Hua Wu Bin""]"
tt0075201	1	nm0000329	actor	\N	\N
tt0075439	1	nm0000329	actor	\N	"[""A Lung""]"
tt0076227	1	nm0000329	actor	\N	"[""Lei Shao-feng""]"
tt0077277	10	nm0000329	actor	\N	"[""General Kawasaki's Aide""]"
tt0077541	1	nm0000329	actor	\N	"[""Lord Ting Chung""]"
tt0078128	1	nm0000329	actor	\N	"[""Yi-Lang""]"
tt0078251	1	nm0000329	actor	\N	"[""Hsu Yin-Fung""]"
tt0078252	1	nm0000329	actor	\N	"[""Chien Fu""]"
tt0079315	1	nm0000329	actor	\N	"[""Shing Lung""]"
tt0079484	1	nm0000329	actor	\N	"[""Tong Huo-wan""]"
tt0079509	1	nm0000329	actor	\N	"[""Sammy""]"
tt0080179	1	nm0000329	actor	\N	"[""Wong Fei-Hung""]"
tt0080436	1	nm0000329	actor	\N	"[""Jerry Kwan""]"
tt0080623	1	nm0000329	actor	\N	"[""Jiang""]"
tt0081499	1	nm0000329	actor	\N	"[""Dragon""]"
tt0084266	1	nm0000329	actor	\N	"[""Dragon""]"
tt0085127	1	nm0000329	actor	\N	"[""Sergeant Dragon Ma Yue Lung""]"
tt0085864	1	nm0000329	actor	\N	"[""Chan Lung""]"
tt0086605	2	nm0000329	actor	\N	"[""CID 07""]"
tt0087578	1	nm0000329	actor	\N	"[""Thomas""]"
tt0089374	1	nm0000329	actor	\N	"[""Chan Ka Kui""]"
tt0089847	1	nm0000329	actor	\N	"[""Billy Wong""]"
tt0091427	1	nm0000329	actor	\N	"[""Ted"",""Tat Fung""]"
tt0091431	1	nm0000329	actor	\N	"[""Asian Hawk""]"
tt0092501	1	nm0000329	actor	\N	"[""Sergeant Dragon Ma Yue Lung""]"
tt0093015	1	nm0000329	actor	\N	"[""Jackie Lung""]"
tt0095403	1	nm0000329	actor	\N	"[""Chan Ka Kui""]"
tt0098019	1	nm0000329	actor	\N	"[""'Charlie' Cheng Wah Kuo""]"
tt0099558	1	nm0000329	actor	\N	"[""Asian Hawk"",""Condor"",""Jackie""]"
tt0099812	1	nm0000329	actor	\N	"[""Lung"",""Steve Tong""]"
tt0103950	1	nm0000329	actor	\N	"[""Ryu Saeba""]"
tt0104558	1	nm0000329	actor	\N	"[""Insp. Chan Ka Kui""]"
tt0105399	1	nm0000329	actor	\N	"[""Ma Yau"",""Die Hard""]"
tt0108656	1	nm0000329	actor	\N	"[""Inspector Eddie Chan""]"
tt0111512	1	nm0000329	actor	\N	"[""Wong Fei-hung""]"
tt0113326	1	nm0000329	actor	\N	"[""Keung""]"
tt0114126	1	nm0000329	actor	\N	"[""Chan Foh To""]"
tt0116704	1	nm0000329	actor	\N	"[""Insp. Chan Ka Kui""]"
tt0117786	1	nm0000329	actor	\N	"[""Jackie""]"
tt0120812	1	nm0000329	actor	\N	"[""Lee""]"
tt0124891	4	nm0000329	actor	\N	"[""Tung Ge (Juvenile)""]"
tt0127357	1	nm0000329	actor	\N	"[""Who Am I""]"
tt0184526	1	nm0000329	actor	\N	"[""C.N. Chan""]"
tt0184894	1	nm0000329	actor	\N	"[""Chon Wang""]"
tt0185591	1	nm0000329	actor	\N	"[""Secretary Chen""]"
tt0266915	1	nm0000329	actor	\N	"[""Lee""]"
tt0271946	1	nm0000329	actor	\N	"[""Buck Yuen""]"
tt0288045	1	nm0000329	actor	\N	"[""Eddie Yang""]"
tt0290095	1	nm0000329	actor	\N	"[""Jimmy Tong""]"
tt0293564	1	nm0000329	actor	\N	"[""Lee""]"
tt0300471	1	nm0000329	actor	\N	"[""Chon Wang""]"
tt0327437	1	nm0000329	actor	\N	"[""Passepartout"",""Lau Xing""]"
tt0365847	2	nm0000329	actor	\N	"[""Meng Yi"",""Jack""]"
tt0374633	2	nm0000329	actor	\N	\N
tt0386005	1	nm0000329	actor	\N	"[""Senior Insp. Chan Kwok-Wing""]"
tt0438877	1	nm0000329	actor	\N	"[""Narrator""]"
tt0485976	1	nm0000329	actor	\N	"[""Thongs""]"
tt0865556	1	nm0000329	actor	\N	"[""Lu Yan"",""Old Hop""]"
tt10044874	1	nm0000329	actor	\N	\N
tt1075419	1	nm0000329	actor	\N	"[""Steelhead""]"
tt1155076	1	nm0000329	actor	\N	"[""Mr. Han""]"
tt1273678	1	nm0000329	actor	\N	"[""Bob Ho""]"
tt1302011	3	nm0000329	actor	\N	"[""Monkey""]"
tt1319718	1	nm0000329	actor	\N	"[""The Soldier""]"
tt1421749	1	nm0000329	actor	\N	\N
tt1424310	1	nm0000329	actor	\N	"[""Asian Hawk""]"
tt1478291	2	nm0000329	actor	\N	"[""Jackie Chan""]"
tt1615160	2	nm0000329	actor	\N	"[""Quan Ngoc Minh""]"
tt1720267	1	nm0000329	actor	\N	"[""Xu Rongcun""]"
tt1741202	1	nm0000329	actor	\N	\N
tt1772230	1	nm0000329	actor	\N	"[""Huang Xing""]"
tt2238032	1	nm0000329	actor	\N	"[""Bennie Chan""]"
tt2324606	1	nm0000329	actor	\N	"[""Lee""]"
tt2599716	1	nm0000329	actor	\N	"[""Zhong Wen""]"
tt2935034	1	nm0000329	actor	\N	"[""Mr. Z""]"
tt2990144	1	nm0000329	actor	\N	\N
tt2992152	4	nm0000329	actor	\N	\N
tt3014284	1	nm0000329	actor	\N	"[""Master Wu"",""Mr. Liu""]"
tt3672840	1	nm0000329	actor	\N	"[""Huo An""]"
tt4217392	1	nm0000329	actor	\N	"[""Jack""]"
tt4685784	1	nm0000329	actor	\N	"[""Chon Wang""]"
tt4687848	1	nm0000329	actor	\N	"[""Ma Yuan""]"
tt5449328	1	nm0000329	actor	\N	"[""Master Monkey""]"
tt5813366	1	nm0000329	actor	\N	"[""Lin Dong""]"
tt6176078	3	nm0000329	actor	\N	"[""Sensei Wu""]"
tt6218010	4	nm0000329	actor	\N	"[""Master""]"
tt6238896	2	nm0000329	actor	\N	"[""Narrator""]"
tt6419292	1	nm0000329	actor	\N	"[""Zell""]"
tt6879446	1	nm0000329	actor	\N	"[""Luo Feng""]"
tt7587984	1	nm0000329	actor	\N	"[""Pu Songling""]"
tt7645502	1	nm0000329	actor	\N	"[""Namiya""]"
tt8026848	1	nm0000329	actor	\N	"[""Kung Fu instructor""]"
tt8312212	1	nm0000329	actor	\N	"[""Master Wu""]"
tt8702944	1	nm0000329	actor	\N	\N
tt9695722	1	nm0000329	actor	\N	"[""Tang Huating""]"
tt9719082	3	nm0000329	actor	\N	\N
